	CHNL_k1500-2024	ENERGY_k1500-2024	COUNTS_k1500-2024
1	1	14.5029025	0
2	2	15.7939778	0
3	3	17.0850530	0
4	4	18.3761282	0
5	5	19.6672035	0
6	6	20.9582787	0
7	7	22.2493539	0
8	8	23.5404291	0
9	9	24.8315044	0
10	10	26.1225796	0
11	11	27.4136548	0
12	12	28.7047301	0
13	13	29.9958053	0
14	14	31.2868805	0
15	15	32.5779558	0
16	16	33.8690310	0
17	17	35.1601062	0
18	18	36.4511814	0
19	19	37.7422567	0
20	20	39.0333319	0
21	21	40.3244071	33
22	22	41.6154824	17
23	23	42.9065576	42
24	24	44.1976328	424
25	25	45.4887081	3353
26	26	46.7797833	9715
27	27	48.0708585	14452
28	28	49.3619337	17149
29	29	50.6530090	19056
30	30	51.9440842	17890
31	31	53.2351594	14327
32	32	54.5262347	11454
33	33	55.8173099	9653
34	34	57.1083851	8449
35	35	58.3994604	7758
36	36	59.6905356	7235
37	37	60.9816108	6961
38	38	62.2726860	6424
39	39	63.5637613	5889
40	40	64.8548365	5500
41	41	66.1459117	5262
42	42	67.4369870	5068
43	43	68.7280622	4789
44	44	70.0191374	4568
45	45	71.3102127	4376
46	46	72.6012879	4223
47	47	73.8923631	4072
48	48	75.1834383	3953
49	49	76.4745136	3945
50	50	77.7655888	3614
51	51	79.0566640	3440
52	52	80.3477393	3491
53	53	81.6388145	3318
54	54	82.9298897	3280
55	55	84.2209650	3250
56	56	85.5120402	3368
57	57	86.8031154	3435
58	58	88.0941906	3263
59	59	89.3852659	3164
60	60	90.6763411	2920
61	61	91.9674163	2983
62	62	93.2584916	2740
63	63	94.5495668	2666
64	64	95.8406420	2537
65	65	97.1317173	2317
66	66	98.4227925	2167
67	67	99.7138677	2114
68	68	101.004943	1957
69	69	102.296018	1957
70	70	103.587093	1793
71	71	104.878169	1865
72	72	106.169244	1731
73	73	107.460319	1717
74	74	108.751394	1620
75	75	110.042470	1650
76	76	111.333545	1599
77	77	112.624620	1481
78	78	113.915695	1464
79	79	115.206770	1537
80	80	116.497845	1428
81	81	117.788921	1405
82	82	119.079996	1406
83	83	120.371071	1416
84	84	121.662146	1394
85	85	122.953222	1381
86	86	124.244297	1341
87	87	125.535372	1327
88	88	126.826447	1278
89	89	128.117522	1284
90	90	129.408598	1275
91	91	130.699673	1297
92	92	131.990748	1220
93	93	133.281823	1284
94	94	134.572899	1257
95	95	135.863974	1222
96	96	137.155049	1247
97	97	138.446124	1193
98	98	139.737200	1185
99	99	141.028275	1152
100	100	142.319350	1196
101	101	143.610425	1231
102	102	144.901500	1163
103	103	146.192576	1177
104	104	147.483651	1103
105	105	148.774726	1126
106	106	150.065801	935
107	107	151.356877	748
108	108	152.647952	673
109	109	153.939027	639
110	110	155.230102	634
111	111	156.521178	577
112	112	157.812253	603
113	113	159.103328	655
114	114	160.394403	546
115	115	161.685478	629
116	116	162.976554	583
117	117	164.267629	580
118	118	165.558704	574
119	119	166.849779	626
120	120	168.140855	631
121	121	169.431930	621
122	122	170.723005	634
123	123	172.014080	535
124	124	173.305156	628
125	125	174.596231	600
126	126	175.887306	627
127	127	177.178381	627
