	CHNL_k1519-2024	ENERGY_k1519-2024	COUNTS_k1519-2024
1	1	14.5029025	0
2	2	15.7939778	0
3	3	17.0850530	0
4	4	18.3761282	0
5	5	19.6672035	0
6	6	20.9582787	0
7	7	22.2493539	0
8	8	23.5404291	0
9	9	24.8315044	0
10	10	26.1225796	0
11	11	27.4136548	0
12	12	28.7047301	0
13	13	29.9958053	0
14	14	31.2868805	0
15	15	32.5779558	0
16	16	33.8690310	0
17	17	35.1601062	0
18	18	36.4511814	0
19	19	37.7422567	0
20	20	39.0333319	0
21	21	40.3244071	1032
22	22	41.6154824	1146
23	23	42.9065576	3216
24	24	44.1976328	76538
25	25	45.4887081	699566
26	26	46.7797833	2176326
27	27	48.0708585	3546726
28	28	49.3619337	4261222
29	29	50.6530090	4525020
30	30	51.9440842	4128149
31	31	53.2351594	3357831
32	32	54.5262347	2646336
33	33	55.8173099	2021938
34	34	57.1083851	1509380
35	35	58.3994604	1263776
36	36	59.6905356	1193834
37	37	60.9816108	1172805
38	38	62.2726860	1165567
39	39	63.5637613	1155756
40	40	64.8548365	1136056
41	41	66.1459117	1041799
42	42	67.4369870	877613
43	43	68.7280622	782104
44	44	70.0191374	765079
45	45	71.3102127	769085
46	46	72.6012879	786444
47	47	73.8923631	817451
48	48	75.1834383	874442
49	49	76.4745136	940727
50	50	77.7655888	991304
51	51	79.0566640	1007678
52	52	80.3477393	975436
53	53	81.6388145	902402
54	54	82.9298897	799659
55	55	84.2209650	689572
56	56	85.5120402	588365
57	57	86.8031154	512952
58	58	88.0941906	468743
59	59	89.3852659	432765
60	60	90.6763411	399782
61	61	91.9674163	367654
62	62	93.2584916	325921
63	63	94.5495668	282842
64	64	95.8406420	245071
65	65	97.1317173	213295
66	66	98.4227925	190123
67	67	99.7138677	173068
68	68	101.004943	162703
69	69	102.296018	154557
70	70	103.587093	143481
71	71	104.878169	131291
72	72	106.169244	122777
73	73	107.460319	120057
74	74	108.751394	116908
75	75	110.042470	116426
76	76	111.333545	116826
77	77	112.624620	115530
78	78	113.915695	114857
79	79	115.206770	113676
80	80	116.497845	111447
81	81	117.788921	111457
82	82	119.079996	110175
83	83	120.371071	111786
84	84	121.662146	111439
85	85	122.953222	111736
86	86	124.244297	111907
87	87	125.535372	113829
88	88	126.826447	113425
89	89	128.117522	114490
90	90	129.408598	116331
91	91	130.699673	116948
92	92	131.990748	119240
93	93	133.281823	119745
94	94	134.572899	121941
95	95	135.863974	122538
96	96	137.155049	124392
97	97	138.446124	126739
98	98	139.737200	128084
99	99	141.028275	129109
100	100	142.319350	130589
101	101	143.610425	132646
102	102	144.901500	133302
103	103	146.192576	134031
104	104	147.483651	135627
105	105	148.774726	136887
106	106	150.065801	135589
107	107	151.356877	134062
108	108	152.647952	133336
109	109	153.939027	132015
110	110	155.230102	130729
111	111	156.521178	128524
112	112	157.812253	126944
113	113	159.103328	125955
114	114	160.394403	123103
115	115	161.685478	122670
116	116	162.976554	122055
117	117	164.267629	121910
118	118	165.558704	122388
119	119	166.849779	123195
120	120	168.140855	126659
121	121	169.431930	130251
122	122	170.723005	136822
123	123	172.014080	145107
